(10368,0)
(-70.4419,169.019)
(-100.866,15.9756)
(-86.6068,-85.1199)
(-89.0179,-62.3015)
(-128.049,3259.07)
(5.57572,123.058)
(-102.938,12.1835)
(9.44272,123.107)
(-105.215,8.28058)
(-128.198,1628.91)
(-67.0886,202.748)
(-64.3353,250.137)
(7.62886,122.701)
(-83.166,-114.075)
(-128.448,1085.25)
(2567.28,76.0845)
(-6.72285,133.567)
(-69.9489,-209.539)
(-129.264,649.853)
(-128.802,813.222)
(-58.2878,882.839)
(-97.2114,23.3384)
(-55.8286,-301.484)
(-94.0456,30.5573)
(-26.5457,-482.187)
(-60.0337,467.837)
(-2.78891,129.304)
(0.469437,126.255)
(-95.5776,26.9557)
(-129.84,540.821)
(-62.0217,324.881)
(-83.7771,60.8676)
(-92.04,-27.3376)
(-132.992,50.952)
(-25.6687,157.704)
(-17.6985,147.141)
(-84.972,56.7764)
(-133.454,322.187)
(-170.64,28.6465)
(-131.363,404.294)
(-247.924,-5.86141)
(-86.1724,52.8065)
(-92.9997,-13.0412)
(-93.7258,1.42109e-14)
(-132.331,358.7)
(-36.4306,172.335)
(-87.3878,48.9395)
(-95.2786,47.0228)
(-139.897,228.291)
(-74.8684,225.537)
(-89.902,41.4454)
(-88.6276,45.158)
(-95.0289,35.4604)
(-96.9053,85.9076)
(-113.94,279.788)
(-80,121.612)
(-192.851,389.09)
(-94.7035,23.9425)
(-137.942,246.313)
(-136.237,267.379)
(-87.1141,103.02)
(-91.2218,37.7853)
(-94.2795,12.216)
(-64,0)
(170.121,101.173)
(-18.7051,-118.099)
(-45.4975,332.27)
(-31.7442,299.31)
(-64,-2.51457)
(-136.759,43.3468)
(-14.8456,-125.43)
(-120,29.0617)
(-10.5039,-133.464)
(-64.0001,-5.03692)
(165.616,122.053)
(161.939,156.411)
(-127.778,36.021)
(-63.8852,376.654)
(-64.0006,-7.57497)
(2776.72,-76.0845)
(-191.928,81.3332)
(-128.406,533.224)
(-64.0049,-12.7314)
(-64.002,-10.1369)
(154.387,746.697)
(-25.2473,-105.163)
(-192.993,690.181)
(-30.5573,-94.0456)
(-322.187,1004.1)
(156.43,346.611)
(-174.198,69.8651)
(-159.531,59.9812)
(-28.0356,-99.4066)
(-64.0103,-15.3675)
(158.918,217.718)
(-44.2229,-60.8676)
(-12.6028,254.325)
(245.465,80.7372)
(-276.664,132.983)
(-241.187,111.744)
(-42.9786,-64.3221)
(-64.087,-26.5457)
(286.524,91.8799)
(-64.0339,-20.8059)
(367.717,116.597)
(-41.6293,-67.9329)
(-5.70434,238.697)
(-1.84741e-13,226.274)
(-64.0556,-23.6314)
(-324.201,161.029)
(-40.1636,-71.7173)
(15.2786,199.192)
(-64.3846,-39.4549)
(-491.68,258.341)
(-36.8293,-79.8889)
(-38.5686,-75.6952)
(12.2966,203.119)
(203.814,74.0924)
(-659.925,355.307)
(182.726,80)
(-997.225,549.09)
(8.83286,208.82)
(-64.2745,-35.9955)
(-64.1921,-32.7075)
(191.777,75.5515)
(-34.9284,-84.3245)
(4.78124,216.45)
(3.21817,124.217)
(-147.219,51.2492)
(-134.749,292.294)
(-64.1312,-29.5649)
(-98.9666,19.6857)
(-22.153,-111.371)
(-111.065,69.0696)
(220.564,75.582)
(-78.0471,-153.001)
(-89.6757,439.164)
(-51.6913,193.38)
(-391.043,200.044)
(-130.536,462.847)
(-64.0195,-18.0554)
(-92.5986,34.1614)
(-32.8456,-89.0318)
(-74.6283,142.998)
(175.701,88.0737)
(-90.7577,-43.4751)
(-21.087,274.066)
(-11.5725,139.352)
(-213.746,94.9936)
(-142.14,212.728)
(-64.5302,-43.1177)
(-107.738,4.23303)
(-5.59199,-142.326)
(-484.544,-91.6583)
(608.824,193.652)
(63.6294,-1018.33)
(-709.739,1945.37)
(-431.336,718.25)
(-2010.81,1130.41)
